AC1	74
Acidobacteriae	279
Actinobacteria	1867
Alphaproteobacteria	1477
Archaeoglobi	165
Bacilli	4020
Bacteroidia	7222
Bdellovibrionia	38
Campylobacteria	102
Chloroflexia	21
Cloacimonadia	48
Clostridia	3347
Coprothermobacteria	96
Coriobacteriia	651
Cyanobacteriia	111
Dehalococcoidia	5
Deinococci	2498
Desulfitobacteriia	79
Desulfobacteria	258
Desulfovibrionia	421
Dictyoglomia	69
Fusobacteriia	164
Gammaproteobacteria	6597
Halobacteria	70
Methanobacteria	284
Methanomicrobia	93
Methanosarcinia	311
Negativicutes	3138
Nitrososphaeria	155
Rhodothermia	116
Spirochaetia	648
Synergistia	438
Thermodesulfovibrionia	366
Thermoplasmata	103
Thermoprotei	211
Thermotogae	180
UBA5184	51
Verrucomicrobiae	399
