1G12	25
Acetivibrionaceae	68
Acetobacteraceae	48
Acidaminococcaceae	1343
Acidobacteriaceae	26
Aerococcaceae	46
Akkermansiaceae	156
Alcanivoracaceae	158
Aminobacteriaceae	41
Anaerovoracaceae	73
Archaeoglobaceae	165
Atopobiaceae	123
Bacteroidaceae	301
Balneolaceae	59
Barnesiellaceae	884
Bdellovibrionaceae	38
Beijerinckiaceae	156
Bifidobacteriaceae	429
Brevibacillaceae	50
Burkholderiaceae	2424
CAG-138	59
CAG-698	17
CAG-826	2
Caldibacillaceae	64
Campylobacteraceae	72
Caulobacteraceae	439
Cellulomonadaceae	367
Chitinophagaceae	571
Cloacimonadaceae	48
Coprobacteraceae	8
Coprothermobacteraceae	96
Coriobacteriaceae	297
Corynebacteriaceae	379
Crocinitomicaceae	47
Cryomorphaceae	246
Cyanobacteriaceae	51
Cyclobacteriaceae	166
Dehalococcoidaceae	5
Dermatophilaceae	102
Desulfobacteraceae	258
Desulfomicrobiaceae	22
Desulfovibrionaceae	399
Dethiosulfovibrionaceae	40
Devosiaceae	169
Dictyoglomaceae	69
DTU089	125
Dysgonomonadaceae	59
Eggerthellaceae	231
Enterobacteriaceae	1402
Enterococcaceae	719
Erysipelatoclostridiaceae	1125
Erysipelotrichaceae	762
EtOH8	74
Exiguobacteraceae	210
Ferrovibrionaceae	37
Fervidobacteriaceae	126
Flavobacteriaceae	442
Fusobacteriaceae	164
Hahellaceae	79
Haloferacaceae	70
Helicobacteraceae	30
Inquilinaceae	74
JdFR-45	38
JGI-0000106-J15	32
koll-22	56
Koribacteraceae	253
Lachnospiraceae	2316
Lactobacillaceae	619
Magnetospirillaceae	51
Marinifilaceae	283
Marinomonadaceae	60
Megasphaeraceae	969
Methanobacteriaceae	280
Methanomassiliicoccaceae	3
Methanomethylophilaceae	6
Methanomicrobiaceae	29
Methanoregulaceae	64
Methanosarcinaceae	204
Methanothermobacteraceae	4
Methanotrichaceae	107
Methylophilaceae	21
Microbacteriaceae	139
Micrococcaceae	73
Moraxellaceae	1600
Mycoplasmataceae	30
Mycoplasmataceae_B	5
Neisseriaceae	95
Nitrosopumilaceae	84
Oscillospiraceae	81
Paenibacillaceae	33
Paludibacteraceae	937
Pasteurellaceae	134
Peptoniphilaceae	50
Peptostreptococcaceae	73
Phormidiaceae	60
Planococcaceae	17
Porphyromonadaceae	43
Porticoccaceae	5
Propionibacteriaceae	378
Pseudomonadaceae	121
Rhizobiaceae	152
Rhodobacteraceae	154
Rhodocyclaceae	13
Rhodothermaceae	57
Rikenellaceae	231
Ruminococcaceae	502
Selenomonadaceae	156
Sphaerochaetaceae	7
Sphingobacteriaceae	351
Sphingomonadaceae	69
Spirochaetaceae_B	33
Spirosomaceae	65
Staphylococcaceae	169
Streptococcaceae	117
Sulfolobaceae	211
Synergistaceae	130
Syntrophobotulaceae	79
Tannerellaceae	25
Thalassospiraceae	41
Thermaceae	2498
Thermodesulfovibrionaceae	366
Thermomicrobiaceae	21
Thermoplasmataceae	56
Thermotogaceae	54
Thermovirgaceae	227
Treponemataceae	608
Turicibacteraceae	35
UA16	119
UBA213	39
UBA3002	87
UBA5184	51
UBA7430	58
UBA955	55
UKL13-3	48
Veillonellaceae	670
Verrucomicrobiaceae	243
Weeksellaceae	2202
Xanthomonadaceae	485
