AC1	186
Acetivibrionales	102
Acetobacterales	97
Acidaminococcales	705
Acidiprofundales	7
Acidobacteriales	198
Actinomycetales	4931
Archaeoglobales	26
Azospirillales	58
Bacillales	98
Bacteroidales	12264
Balneolales	109
Bdellovibrionales	43
Betaproteobacteriales	2189
Brevibacillales	56
Caldiarchaeales	5
Campylobacterales	107
Caulobacterales	847
Chitinophagales	2875
Christensenellales	43
Cloacimonadales	24
Coprothermobacterales	52
Coriobacteriales	583
Corynebacteriales	557
Cyanobacteriales	127
Cytophagales	816
Dehalococcoidales	18
Deinococcales	1713
Desulfitobacteriales	21
Desulfobacterales	180
Desulfovibrionales	378
Dictyoglomales	157
Enterobacterales	2910
Erysipelotrichales	2358
Exiguobacterales	542
Flavobacteriales	6209
Fusobacteriales	97
Halobacteriales	26
Haloplasmatales	88
Lachnospirales	4190
Lactobacillales	2848
Methanobacteriales	179
Methanomassiliicoccales	45
Methanomicrobiales	28
Methanosarcinales	96
Methanotrichales	35
ML615J-28	23
Nitrososphaerales	25
NS11-12g	99
Oscillospirales	1397
Paenibacillales	214
Peptostreptococcales	103
Propionibacteriales	664
Pseudomonadales	2151
RFN20	46
Rhizobiales	717
Rhodobacterales	116
Rhodospirillales	167
Rhodothermales	511
Selenomonadales	284
Sneathiellales	33
Sphaerochaetales	60
Sphingobacteriales	1235
Sphingomonadales	157
Spirochaetales	23
Staphylococcales	200
Sulfolobales	93
Synergistales	270
Thermodesulfovibrionales	287
Thermomicrobiales	76
Thermoplasmatales	17
Thermotogales	97
Tissierellales	10
Treponematales	384
UBA5184	52
UBA998	27
Veillonellales	1453
Verrucomicrobiales	189
Xanthomonadales	1251
