#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CBM50_e1014.hmm|CBM50:6 -             39 3300006249.a:Ga0099390_1007117_4 -            355      0.52   10.8   0.0   1   4      0.75   1.9e+04   -3.9   0.1    21    26     8    13     5    13 0.81 -
CBM50_e1014.hmm|CBM50:6 -             39 3300006249.a:Ga0099390_1007117_4 -            355      0.52   10.8   0.0   2   4     2e-05      0.52   10.8   0.0     7    21    30    44    29    49 0.88 -
CBM50_e1014.hmm|CBM50:6 -             39 3300006249.a:Ga0099390_1007117_4 -            355      0.52   10.8   0.0   3   4       0.4     1e+04   -3.0   0.0    16    26    91   102    90   106 0.69 -
CBM50_e1014.hmm|CBM50:6 -             39 3300006249.a:Ga0099390_1007117_4 -            355      0.52   10.8   0.0   4   4      0.31     8e+03   -2.6   0.1    13    22   142   151   141   153 0.83 -
GT2_e3017.hmm|GT2:14 -            159 3300006249.a:Ga0099390_1002891_2 -            138      0.11   12.8   0.6   1   1   7.8e-06       0.2   11.9   0.6    16    87     4    71     1   131 0.86 -
GT4_e2481.hmm|GT4:15 -            142 3300006249.a:Ga0099390_1002891_6 -            105     0.039   14.4   2.3   1   2   3.3e-06     0.042   14.2   0.7    99   136    16    53     7    59 0.82 -
GT4_e2481.hmm|GT4:15 -            142 3300006249.a:Ga0099390_1002891_6 -            105     0.039   14.4   2.3   2   2      0.12   1.6e+03   -0.5   0.0    43    59    78    94    56   102 0.53 -
GT4_e2844.hmm|GT4:6  -            157 3300006249.a:Ga0099390_1002891_6 -            105      0.13   12.5   0.3   1   1   1.5e-05      0.19   12.0   0.3    42    76    62    98    42   104 0.84 -
CE20_e31.hmm|CE20:16 -            310 3300006249.a:Ga0099390_1002995_2 -            202       2.2    8.1   4.9   1   1    0.0001       2.7    7.9   4.0   113   176    49   110    38   137 0.80 -
GH78_e14.hmm|GH78:99  -            493 3300006249.a:Ga0099390_1002995_7 -             69      0.11   11.5   0.2   1   1   9.4e-06      0.12   11.3   0.2   201   236    20    58    16    64 0.78 -
