genome_id	metagenome_id	division	phylum	class	order	family	specie	genome_length	num_contigs	n50	num_16s	num_5s	num_23s	num_trna	completeness	contamination	quality_score	mimag_quality	otu_id	ecosystem_category	ecosystem_type	habitat	longitude	latitude	PULsFrequency	CAZysFrequency
2199352035_5	2199352035	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		3243913	14	437687	0	2	0	39	100	0	100	MQ	OTU-8855	Solid waste	Composting	Decomposing wood	-65.75	18.3167	8	128
3300000052_6	3300000052	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	GCA_002381805.1	3364908	50	133652	0	0	0	39	99.1	0	99.1	MQ	OTU-10776	Biotransformation	Microbial solubilization of coal	Hydrocarbon resource environments	-113.78	52.119	38	43
3300000865_14	3300000865	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	UBA213		1431057	49	44699	1	1	1	41	99.03	0	99.03	HQ	OTU-12180	Aquatic	Thermal springs	Hot springs sediment	98.4408	25.4401	39	8
3300002481_19	3300002481	Archaea	Halobacterota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	GCA_002010195.1	1834368	92	26483	1	1	1	43	99.35	0	99.35	HQ	OTU-4932	Aquatic	Marine	Deep oceanic, basalt-hosted subsurface hydrothermal fluid	-127.76	47.76	81	8
3300003155_19	3300003155	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D pullorum	1632472	34	105532	1	0	0	34	99.12	0	99.12	MQ	OTU-17362	Birds	Digestive system	Broiler chicken cecum	-3.5233	50.9047	30	22
3300003272_7	3300003272	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	1G12	GCA_002428995.1	5316513	27	286353	1	1	1	44	100	0	100	HQ	OTU-8738	Cnidaria	Unclassified	Cnidaria	-81.4059	24.5485	25	67
3300005062_4	3300005062	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio_C alaskensis	3301739	129	38318	0	0	0	53	99.11	0	99.11	MQ	OTU-6847	Aquatic	Unclassified	Water	7.42	55.49	123	55
3300005298_15	3300005298	Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus thermophilum	1837169	18	155937	1	2	1	48	100	0	100	HQ	OTU-16621	Aquatic	Thermal springs	Hot Spring	-119.37	40.7146	13	80
3300005300_15	3300005300	Archaea	Halobacterota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae		1737762	53	50669	1	0	1	49	100	0	100	MQ	OTU-5511	Aquatic	Thermal springs	Hot Spring	-119.37	40.7146	47	9
3300005326_19	3300005326	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		3508485	28	172764	1	1	1	44	99.7	0.03	99.55	HQ	OTU-3018	Bioremediation	Tetrachloroethylene and derivatives	Bioremediated contaminated groundwater	-106.08	35.9918	28	34
3300005326_35	3300005326	Bacteria	Edwardsbacteria	AC1	AC1	EtOH8		2681388	1	2681388	1	1	1	48	100	0	100	HQ	OTU-2361	Bioremediation	Tetrachloroethylene and derivatives	Bioremediated contaminated groundwater	-106.08	35.9918	0	68
3300005370_1	3300005370	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides mccartyi	1341646	1	1341646	1	1	1	46	99.01	0	99.01	HQ	OTU-12951	Bioremediation	Tetrachloroethylene and derivatives	PCE-dechlorinating	-76.4969	42.4406	0	9
3300005460_44	3300005460	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Bifidobacteriaceae	Bifidobacterium animalis_A	1905163	15	170588	0	2	0	53	100	0	100	MQ	OTU-15221	Mammals	Gastrointestinal tract	Mouse cecum	16.37	48.2	7	44
3300005958_1	3300005958	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae		2303274	99	69945	1	1	1	48	100	0	100	HQ	OTU-6307	Aquatic	Non-marine Saline and Alkaline	Hypoxic/sulfidic aquatic	-110.704	44.7231	65	30
3300005964_4	3300005964	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae		2017221	93	48473	1	1	0	40	100	0	100	MQ	OTU-6307	Aquatic	Non-marine Saline and Alkaline	Ferrous microbial mat and aquatic	-110.702	44.7221	66	21
3300005977_5	3300005977	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	GCF_000022385.1	2317504	96	46709	1	1	1	50	99.4	0	99.4	HQ	OTU-2344	Aquatic	Non-marine Saline and Alkaline	Ferrous microbial mat	-110.709	44.733	80	42
3300006249_14	3300006249	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	2080207	18	160059	1	3	0	35	99.4	0	99.4	MQ	OTU-2260	Human	Digestive system	Human	-77.1012	39.0043	17	24
3300006249_7	3300006249	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium nucleatum_B	2583667	123	35687	2	1	1	30	100	0	100	MQ	OTU-4644	Human	Digestive system	Human	-77.1012	39.0043	103	32
3300006250_17	3300006250	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		1839588	20	174373	0	0	0	41	100	0	100	MQ	OTU-5259	Human	Digestive system	Human	-77.1012	39.0043	18	27
3300006250_9	3300006250	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga gingivalis	2363947	42	101244	1	2	1	42	99.6	0	99.6	HQ	OTU-2130	Human	Digestive system	Human	-77.1012	39.0043	36	36
3300006259_15	3300006259	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		1873100	18	165915	0	0	0	40	100	0	100	MQ	OTU-5637	Human	Digestive system	Human	-77.1012	39.0043	17	28
