#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GH10_e104.hmm|GH10:17|CBM1:7|CBM2:1 -            309 3300006913.a:Ga0056115_1000020_2 -            371    0.0047   16.4   0.0   1   1   2.8e-07    0.0072   15.8   0.0    73   160   215   304   183   318 0.89 -
GT2_e38.hmm|GT2:7               -            108 3300006913.a:Ga0056115_1000020_14 -            830      0.24   12.2   0.0   1   1   5.3e-05      0.68   10.7   0.0    40   100   595   658   587   664 0.74 -
GH32_e61.hmm|GH32:73|3.2.1.80:3 -            369 3300006913.a:Ga0056115_1000020_14 -            830      0.25   10.7   0.0   1   1   3.1e-05       0.4   10.0   0.0   281   345   559   621   536   640 0.75 -
GH35_e25.hmm|GH35:5  -            343 3300006913.a:Ga0056115_1000020_20 -            115     0.061   12.8   0.1   1   1   2.4e-06     0.061   12.8   0.1   106   157    54   104    11   114 0.88 -
GH35_e20.hmm|GH35:105|CBM13:1 -            345 3300006913.a:Ga0056115_1000020_23 -            432     0.048   13.3   0.0   1   1   2.8e-06     0.071   12.8   0.0    79   182   264   366   223   412 0.89 -
GT26_e40.hmm|GT26:16            -            168 3300006913.a:Ga0056115_1000020_29 -            249   2.1e-38  132.4   0.1   1   1   1.6e-40   2.7e-38  132.1   0.1     2   166    62   226    61   228 0.92 -
GT26_e180.hmm|GT26:6            -            168 3300006913.a:Ga0056115_1000020_29 -            249   5.1e-37  127.8   0.1   1   1   4.2e-39   7.2e-37  127.3   0.1     2   165    63   226    62   228 0.97 -
GT26_e184.hmm|GT26:8            -            164 3300006913.a:Ga0056115_1000020_29 -            249   2.2e-32  112.7   0.0   1   1   1.8e-34   3.1e-32  112.2   0.0     3   140    63   200    61   218 0.96 -
GT26_e1.hmm|GT26:270            -            145 3300006913.a:Ga0056115_1000020_29 -            249   8.3e-24   84.4   0.0   1   1   7.4e-26   1.3e-23   83.8   0.0     2   144    62   204    61   205 0.98 -
GT26_e113.hmm|GT26:5            -            169 3300006913.a:Ga0056115_1000020_29 -            249   2.8e-23   83.0   0.0   1   1   2.2e-25   3.8e-23   82.5   0.0     1   144    60   204    60   227 0.92 -
GT26_e193.hmm|GT26:97           -            170 3300006913.a:Ga0056115_1000020_29 -            249   3.3e-16   59.9   0.0   1   1   2.6e-18   4.5e-16   59.4   0.0     2   144    62   204    61   227 0.92 -
GT26_e177.hmm|GT26:75           -            169 3300006913.a:Ga0056115_1000020_29 -            249   1.2e-15   58.0   0.0   1   1     9e-18   1.5e-15   57.6   0.0     9   166    70   227    62   230 0.92 -
GT26_e169.hmm|GT26:6            -            168 3300006913.a:Ga0056115_1000020_29 -            249   1.6e-14   54.9   0.0   1   1   1.2e-16     2e-14   54.6   0.0     2   142    62   203    61   226 0.89 -
GT26_e124.hmm|GT26:7            -            170 3300006913.a:Ga0056115_1000020_29 -            249   7.9e-14   52.4   0.0   1   1   8.1e-16   1.4e-13   51.6   0.0     2   144    61   203    60   227 0.92 -
GT26_e111.hmm|GT26:30           -            169 3300006913.a:Ga0056115_1000020_29 -            249   1.8e-13   51.1   0.0   1   1   1.4e-15   2.5e-13   50.6   0.0     2   140    62   200    61   223 0.96 -
GT26_e16.hmm|GT26:91            -            170 3300006913.a:Ga0056115_1000020_29 -            249   5.5e-13   49.4   0.0   1   1   4.1e-15   6.9e-13   49.0   0.0     2   141    62   201    61   230 0.94 -
GT26_e7.hmm|GT26:51|GT4:1       -            169 3300006913.a:Ga0056115_1000020_29 -            249   1.5e-12   48.3   0.0   1   1   1.2e-14     2e-12   47.9   0.0     2   140    62   201    61   216 0.94 -
GT26_e125.hmm|GT26:14|GT9:1     -            170 3300006913.a:Ga0056115_1000020_29 -            249   3.7e-12   46.6   0.0   1   1   2.7e-14   4.7e-12   46.3   0.0     2   165    62   225    61   229 0.88 -
GT26_e36.hmm|GT26:15            -            170 3300006913.a:Ga0056115_1000020_29 -            249   5.6e-12   46.3   0.0   1   1   4.6e-14   7.8e-12   45.8   0.0     3   145    63   205    61   229 0.87 -
GT26_e53.hmm|GT26:614           -            169 3300006913.a:Ga0056115_1000020_29 -            249   9.1e-12   45.6   0.0   1   1   6.6e-14   1.1e-11   45.3   0.0     2   142    62   203    61   226 0.92 -
GT26_e135.hmm|GT26:7            -            169 3300006913.a:Ga0056115_1000020_29 -            249   1.2e-11   45.2   0.0   1   2       3.4   5.8e+02    0.6   0.0    75   139    11    78     5    97 0.71 -
GT26_e135.hmm|GT26:7            -            169 3300006913.a:Ga0056115_1000020_29 -            249   1.2e-11   45.2   0.0   2   2   4.4e-13   7.5e-11   42.6   0.0    39   140    99   200    73   217 0.91 -
GT26_e11.hmm|GT26:13            -            170 3300006913.a:Ga0056115_1000020_29 -            249   1.8e-11   44.5   0.0   1   1   1.3e-13   2.3e-11   44.2   0.0    30   143    90   203    61   215 0.85 -
GT26_e17.hmm|GT26:21            -            168 3300006913.a:Ga0056115_1000020_29 -            249   3.1e-11   43.8   0.0   1   1   2.5e-13   4.3e-11   43.3   0.0     2   141    64   203    63   220 0.87 -
GT26_e49.hmm|GT26:169           -            167 3300006913.a:Ga0056115_1000020_29 -            249   3.7e-11   43.5   0.0   1   1   3.9e-13   6.7e-11   42.7   0.0    34   145    96   206    92   227 0.90 -
GT26_e54.hmm|GT26:90            -            168 3300006913.a:Ga0056115_1000020_29 -            249   4.2e-11   43.3   0.0   1   1   3.1e-13   5.3e-11   42.9   0.0     2   164    62   226    61   229 0.87 -
GT26_e112.hmm|GT26:10           -            170 3300006913.a:Ga0056115_1000020_29 -            249     6e-11   42.9   0.0   1   1     5e-13   8.5e-11   42.4   0.0     8   140    68   200    61   206 0.87 -
GT26_e162.hmm|GT26:6            -            169 3300006913.a:Ga0056115_1000020_29 -            249   8.4e-11   42.4   0.0   1   1   6.6e-13   1.1e-10   42.0   0.0     2   142    62   202    61   207 0.95 -
GT26_e189.hmm|GT26:30           -            169 3300006913.a:Ga0056115_1000020_29 -            249     1e-10   42.2   0.0   1   1   7.8e-13   1.3e-10   41.8   0.0     2   140    62   201    61   225 0.91 -
GT26_e91.hmm|GT26:68            -            170 3300006913.a:Ga0056115_1000020_29 -            249   1.1e-10   42.1   0.0   1   2       8.8   1.5e+03   -0.7   0.0    73   135     9    74     2    89 0.56 -
GT26_e91.hmm|GT26:68            -            170 3300006913.a:Ga0056115_1000020_29 -            249   1.1e-10   42.1   0.0   2   2   1.3e-12   2.2e-10   41.1   0.0     2   143    62   203    61   208 0.93 -
GT26_e178.hmm|GT26:8            -            174 3300006913.a:Ga0056115_1000020_29 -            249   1.4e-10   41.6   0.0   1   1   1.2e-12   2.1e-10   41.1   0.0     6   146    66   202    61   214 0.83 -
