PULS	CAZYS	Class	Order	Family	Specie	Ecosystem	mag
3300005326_19	28	34	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Bioremediation	3300005326_19
3300006250_9	36	36	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga gingivalis	Human	3300006250_9
3300006307_14	34	28	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300006307_14
3300006312_13	52	22	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300006312_13
3300006476_10	30	66	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300006476_10
3300006487_4	62	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	Human	3300006487_4
3300006488_1	40	39	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga gingivalis	Human	3300006488_1
3300006510_1	41	43	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus gasseri	Human	3300006510_1
3300007043_6	51	70	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300007043_6
3300007135_8	86	21	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300007135_8
3300007313_3	40	72	Clostridia	Lachnospirales	Lachnospiraceae	GCF_001517625.2	Human	3300007313_3
3300007360_8	58	21	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	Human	3300007360_8
3300007796_19	64	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300007796_19
3300007874_1	37	39	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus gasseri	Human	3300007874_1
3300007921_9	26	42	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus sp1	Human	3300007921_9
3300008060_4	29	171	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella clara	Human	3300008060_4
3300008073_10	36	22	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300008073_10
3300008102_6	68	30	Bacteroidia	Flavobacteriales	Weeksellaceae		Human	3300008102_6
3300008134_16	35	30	Bacteroidia	Flavobacteriales	Weeksellaceae		Human	3300008134_16
3300008136_4	50	80	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella shahii	Human	3300008136_4
3300008405_8	41	31	Bacteroidia	Flavobacteriales	Weeksellaceae		Human	3300008405_8
3300008485_3	34	23	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300008485_3
3300008515_8	28	38	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga gingivalis	Human	3300008515_8
3300008518_4	31	66	Bacteroidia	Flavobacteriales	Flavobacteriaceae		Human	3300008518_4
3300008638_6	29	66	Bacteroidia	Flavobacteriales	Flavobacteriaceae		Human	3300008638_6
3300008734_6	34	81	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella shahii	Human	3300008734_6
3300010262_6	93	134	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Animal	3300010262_6
3300010266_9	94	65	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B hirae	Animal	3300010266_9
3300010279_4	58	119	Clostridia	Oscillospirales	Ruminococcaceae		Animal	3300010279_4
3300010280_19	61	54	Clostridia	Lachnospirales	Lachnospiraceae		Animal	3300010280_19
3300011134_3	39	52	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011134_3
3300011151_2	50	55	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011151_2
3300011360_1	60	100	Bacteroidia	Flavobacteriales	Weeksellaceae	GCA_002297505.1	Built_environment	3300011360_1
3300011386_4	45	40	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011386_4
3300011452_2	46	39	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011452_2
3300011548_2	42	38	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011548_2
3300011571_4	73	56	Bacteroidia	Flavobacteriales	Weeksellaceae	GCA_002294105.1	Built_environment	3300011571_4
3300011575_5	63	22	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter aerosaccus	Built_environment	3300011575_5
3300011593_3	61	39	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011593_3
3300011596_5	27	20	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter aerosaccus	Built_environment	3300011596_5
3300011609_3	82	52	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011609_3
3300011631_3	52	39	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011631_3
3300011656_2	38	44	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc citreum	Built_environment	3300011656_2
3300011668_4	48	49	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011668_4
3300011692_3	65	57	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011692_3
3300011724_4	38	39	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011724_4
3300011744_3	63	24	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter aerosaccus	Built_environment	3300011744_3
3300011747_4	55	40	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011747_4
3300011759_3	34	67	Bacteroidia	Flavobacteriales	Weeksellaceae		Built_environment	3300011759_3
3300011778_5	33	32	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter schindleri	Built_environment	3300011778_5
3300011783_5	71	50	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011783_5
3300011799_3	105	109	Bacteroidia	Flavobacteriales	Weeksellaceae	GCA_002434285.1	Built_environment	3300011799_3
3300011822_4	47	88	Bacteroidia	Flavobacteriales	Weeksellaceae		Built_environment	3300011822_4
3300011827_5	72	69	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011827_5
3300011834_5	30	73	Bacteroidia	Flavobacteriales	Weeksellaceae	GCA_002484105.1	Built_environment	3300011834_5
3300011866_4	89	49	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011866_4
3300011869_5	56	50	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011869_5
3300011886_5	54	50	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011886_5
3300011931_1	72	23	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	GCF_000213615.1	Built_environment	3300011931_1
3300011953_5	40	50	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011953_5
3300011954_2	44	38	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300011954_2
3300011956_3	52	50	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011956_3
3300011958_3	36	51	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300011958_3
3300012259_1	64	81	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter freundii	Built_environment	3300012259_1
3300012283_6	55	55	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300012283_6
3300012816_5	71	154	Bacteroidia	Chitinophagales	Chitinophagaceae		Terrestrial	3300012816_5
3300012820_3	68	40	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Insecta	3300012820_3
3300012826_6	58	126	Bacteroidia	Chitinophagales	Chitinophagaceae		Terrestrial	3300012826_6
3300012829_13	29	43	Bacteroidia	Chitinophagales	Chitinophagaceae		Insecta	3300012829_13
3300012842_6	62	153	Bacteroidia	Chitinophagales	Chitinophagaceae		Terrestrial	3300012842_6
3300012846_11	33	43	Bacteroidia	Chitinophagales	Chitinophagaceae		Insecta	3300012846_11
3300013094_16	46	109	Bacteroidia	Chitinophagales	Chitinophagaceae		Aquatic	3300013094_16
3300013667_2	47	98	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter steigerwaltii	Built_environment	3300013667_2
3300013703_1	40	43	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300013703_1
3300013723_1	40	122	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia timonae	Built_environment	3300013723_1
3300013921_3	72	51	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter falsenii	Built_environment	3300013921_3
3300014014_1	76	39	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014014_1
3300014062_2	94	41	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014062_2
3300014070_3	52	43	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014070_3
3300014094_4	54	36	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014094_4
3300014095_7	32	83	Bacteroidia	Flavobacteriales	Weeksellaceae	GCA_002484105.1	Built_environment	3300014095_7
3300014131_2	35	23	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300014131_2
3300014497_10	43	97	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium indoltheticum	Plants	3300014497_10
3300014514_2	36	248	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_B vulgatus	Human	3300014514_2
3300014514_3	65	78	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014514_3
3300014520_4	67	80	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014520_4
3300014524_4	70	40	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014524_4
3300014527_5	53	76	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus_C rhamnosus	Human	3300014527_5
3300014529_2	35	74	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014529_2
3300014541_6	40	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300014541_6
3300014543_9	75	60	Clostridia	Lachnospirales	Lachnospiraceae	GCA_000436535.1	Human	3300014543_9
3300014558_5	36	56	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium prausnitzii_A	Human	3300014558_5
3300014561_6	47	68	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A ihumii	Human	3300014561_6
3300014597_2	43	76	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014597_2
3300014602_2	60	41	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014602_2
3300014616_2	68	41	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_G italicus	Built_environment	3300014616_2
3300014620_1	65	78	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014620_1
3300014622_2	32	43	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCF_001424265.1	Built_environment	3300014622_2
3300014645_1	45	123	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia timonae	Built_environment	3300014645_1
3300014678_2	35	120	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Built_environment	3300014678_2
3300014700_6	34	83	Bacteroidia	Flavobacteriales	Weeksellaceae	GCA_002484105.1	Built_environment	3300014700_6
3300014728_1	41	75	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium arthrosphaerae	Built_environment	3300014728_1
3300014749_6	60	63	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus_C paracasei	Human	3300014749_6
3300014755_12	48	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300014755_12
3300014778_10	45	69	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300014778_10
3300014780_5	138	81	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	GCF_000752095.2	Human	3300014780_5
3300014783_10	88	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300014783_10
3300014803_14	76	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300014803_14
3300014901_2	54	38	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter nosocomialis	Built_environment	3300014901_2
3300014921_5	47	92	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B gnavus	Human	3300014921_5
3300014951_5	50	80	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014951_5
3300014953_8	48	65	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus faecalis	Human	3300014953_8
3300014956_10	66	55	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300014956_10
3300014970_5	72	75	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A wexlerae	Human	3300014970_5
3300014970_8	41	70	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus faecalis	Human	3300014970_8
3300014972_2	67	77	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300014972_2
3300017560_9	47	129	Bacteroidia	Chitinophagales	Chitinophagaceae		Terrestrial	3300017560_9
3300018426_34	95	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300018426_34
3300019371_8	70	64	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M clostridioformis	Mammals	3300019371_8
3300019373_10	80	64	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_M clostridioformis	Mammals	3300019373_10
3300020051_21	47	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020051_21
3300020052_28	39	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020052_28
3300020055_21	47	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020055_21
3300020056_35	48	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020056_35
3300020168_29	70	25	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020168_29
3300020176_29	38	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020176_29
3300020189_33	43	25	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020189_33
3300020601_30	35	26	Deinococci	Deinococcales	Thermaceae	Thermus thermophilus	Aquatic	3300020601_30
3300021310_13	27	118	Bacteroidia	Bacteroidales	Paludibacteraceae		Mammals	3300021310_13
3300021318_9	42	112	Bacteroidia	Bacteroidales	Paludibacteraceae		Mammals	3300021318_9
3300021400_59	53	88	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus sp1	Mammals	3300021400_59
3300021400_61	31	34	Negativicutes	Veillonellales	Megasphaeraceae	Caecibacter massiliensis	Mammals	3300021400_61
3300022137_9	42	46	Bacilli	Lactobacillales	Lactobacillaceae		Bioreactor	3300022137_9
3300022849_3	90	162	Bacteroidia	Bacteroidales	Paludibacteraceae		Terrestrial	3300022849_3
