#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name                      accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- -----            -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GH13_e138.hmm|GH13_11:12|CBM48:7      -            187 3300006292.a:Ga0099622_100022_1 -            123     0.016   15.3   0.2   1   1   1.5e-06     0.019   15.0   0.2    66   153    12   102     3   105 0.84 -
GH13_e87.hmm|GH13_11:7|CBM48:5|GH13:1 -            190 3300006292.a:Ga0099622_100022_1 -            123     0.047   13.8   0.1   1   1   4.4e-06     0.056   13.6   0.1    71   156    14   102     6   110 0.86 -
CBM50_e90.hmm|CBM50:20 -             44 3300006292.a:Ga0099622_100022_16 -            210     0.092   13.0   0.0   1   1   8.8e-06      0.23   11.8   0.0    12    27   120   135   113   143 0.85 -
GT9_e308.hmm|GT9:15  -            259 3300006292.a:Ga0099622_100022_42 -            266     0.032   14.4   1.0   1   1   4.8e-06     0.041   14.0   1.0   109   200    84   175    59   226 0.79 -
GT4_e2127.hmm|GT4:14 -            159 3300006292.a:Ga0099622_100022_42 -            266      0.12   12.7   0.0   1   1   2.2e-05      0.19   12.1   0.0    39   105    68   130    55   156 0.77 -
GT4_e3932.hmm|GT4:11 -            150 3300006292.a:Ga0099622_100022_42 -            266      0.18   12.2   0.1   1   1   3.2e-05      0.27   11.6   0.1    31   109    46   124    34   142 0.87 -
GT4_e2498.hmm|GT4:7  -            147 3300006292.a:Ga0099622_100022_45 -            291      0.91   10.1   4.1   1   2     0.097   2.5e+03   -1.0   0.2    88   111    48    73    13    98 0.70 -
GT4_e2498.hmm|GT4:7  -            147 3300006292.a:Ga0099622_100022_45 -            291      0.91   10.1   4.1   2   2   1.5e-05      0.39   11.4   0.4    91   133   218   260   197   266 0.91 -
CBM13_e244.hmm|CBM13:6|CBM16:1 -            157 3300006292.a:Ga0099622_100022_54 -            377     0.046   14.4   0.0   1   1   4.2e-06      0.11   13.2   0.0    11    55   277   321   272   367 0.77 -
GT26_e79.hmm|GT26:38            -            174 3300006292.a:Ga0099622_100022_60 -            530      0.11   12.8   0.1   1   2       1.1   1.5e+04   -3.9   0.0   129   140   156   167   153   184 0.65 -
GT26_e79.hmm|GT26:38            -            174 3300006292.a:Ga0099622_100022_60 -            530      0.11   12.8   0.1   2   2   2.1e-05      0.26   11.6   0.0    64    94   299   331   283   341 0.74 -
GH25_e17.hmm|GH25:18|3.2.1.17:3 -            181 3300006292.a:Ga0099622_100022_60 -            530      0.15   12.7   0.0   1   1   2.2e-05      0.28   11.8   0.0    37    80   264   307   257   316 0.88 -
GH23_e201.hmm|GH23:6 -             66 3300006292.a:Ga0099622_100022_144 -            209     0.057   14.3   0.0   1   2   7.1e-06      0.18   12.7   0.0    24    50    41    67    31    82 0.86 -
GH23_e201.hmm|GH23:6 -             66 3300006292.a:Ga0099622_100022_144 -            209     0.057   14.3   0.0   2   2      0.29   7.3e+03   -2.1   0.0    36    51   159   174   158   180 0.79 -
GT4_e2775.hmm|GT4:12 -            130 3300006292.a:Ga0099622_100022_157 -            224     0.092   13.1   0.3   1   2   2.9e-05      0.75   10.2   0.0    87   113    42    69    19    76 0.80 -
GT4_e2775.hmm|GT4:12 -            130 3300006292.a:Ga0099622_100022_157 -            224     0.092   13.1   0.3   2   2     0.026   6.7e+02    0.6   0.2    37    69   186   218   163   222 0.74 -
GH12_e6.hmm|GH12:16|3.2.1.4:5|3.2.1.151:1 -            149 3300006292.a:Ga0099622_100022_161 -            271      0.22   12.1   0.0   1   1     2e-05       0.5   10.9   0.0    35    90     8    64     4    70 0.75 -
GT4_e3323.hmm|GT4:189 -            121 3300006292.a:Ga0099622_100043_16 -            122     0.058   13.6   0.0   1   1   3.6e-06     0.091   13.0   0.0    74   104    45    75    43    82 0.88 -
GH18_e378.hmm|GH18:92|3.2.1.14:1 -            322 3300006292.a:Ga0099622_100043_18 -            364     0.037   13.6   0.0   1   2   0.00013       3.3    7.3   0.0    10    75   176   243   169   248 0.80 -
GH18_e378.hmm|GH18:92|3.2.1.14:1 -            322 3300006292.a:Ga0099622_100043_18 -            364     0.037   13.6   0.0   2   2   0.00082        21    4.6   0.1   211   235   247   271   233   288 0.83 -
GT20_e1.hmm|GT20:8450|2.4.1.15:96             -            473 3300006292.a:Ga0099622_100043_21 -            462  1.3e-176  588.3   0.0   1   1  1.8e-178  1.5e-176  588.2   0.0     9   469     2   459     1   461 0.94 -
GT20_e8.hmm|GT20:314|2.4.1.213:1              -            487 3300006292.a:Ga0099622_100043_21 -            462    2e-132  442.6   0.0   1   1  3.1e-134  2.6e-132  442.2   0.0     2   484     3   456     2   459 0.92 -
GT20_e0.hmm|GT20:733|2.4.1.15:146|CBM20:2     -            462 3300006292.a:Ga0099622_100043_21 -            462  2.4e-128  429.2   0.0   1   1  3.2e-130  2.7e-128  429.0   0.0     3   460     3   458     1   460 0.94 -
GT20_e21.hmm|GT20:172                         -            466 3300006292.a:Ga0099622_100043_21 -            462  3.6e-121  405.3   0.0   1   1  6.5e-123  5.4e-121  404.8   0.0     2   463     4   455     3   458 0.88 -
GT20_e13.hmm|GT20:36                          -            468 3300006292.a:Ga0099622_100043_21 -            462  3.3e-110  369.4   0.0   1   1  7.6e-112  6.4e-110  368.5   0.0     1   464     3   454     3   458 0.90 -
GT20_e22.hmm|GT20:12                          -            469 3300006292.a:Ga0099622_100043_21 -            462  2.3e-106  356.4   0.0   1   1  3.4e-108  2.8e-106  356.2   0.0     4   468     3   458     1   459 0.90 -
GT20_e16.hmm|GT20:9                           -            468 3300006292.a:Ga0099622_100043_21 -            462   1.9e-94  317.6   0.0   1   1   3.5e-96   2.9e-94  317.0   0.0     2   464     4   453     3   456 0.88 -
GT20_e15.hmm|GT20:13|2.4.1.15:3               -            431 3300006292.a:Ga0099622_100043_21 -            462   3.6e-89  299.7   0.0   1   1   2.9e-90   2.4e-88  296.9   0.0     2   428     5   452     4   455 0.88 -
