CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TF	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_100	103003	103308	-	HTH_11
CGC1	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_101	103398	103634	+	null
CGC1	STP	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_102	103603	103761	+	Glyoxalase
CGC1	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_103	103810	104118	+	null
CGC1	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_104	104296	105315	-	null
CGC1	CAZyme	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_105	105910	107412	+	GH5_27|GH5
CGC1	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_106	107780	108217	-	null
CGC1	TC	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_107	108487	109302	+	1.C.70.1.1
CGC2	TC	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_428	461117	462139	-	3.A.1.125.3
CGC2	TF	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_429	462259	462915	-	GerE
CGC2	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_430	462934	463452	-	null
CGC2	TC	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_431	463618	464448	-	3.A.1.1.23
CGC2	TC	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_432	464448	465410	-	3.A.1.1.36
CGC2	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_433	465426	466730	-	null
CGC2	TF	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_434	467077	467835	+	HTH_DeoR
CGC2	CAZyme	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_435	467832	469220	+	GH4| GH4
CGC2	CAZyme	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_436	469213	472341	+	GH38| GH38
CGC2	null	3300013715.a:Ga0118076_100001	3300013715.a:Ga0118076_100001_437	472338	473393	+	null
