HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT51.hmm	177	3300014623.a:Ga0121352_10001_111	241	1.3e-50	12	176	55	218	0.9265536723163842
AA3.hmm	618	3300014623.a:Ga0121352_10001_124	532	1.8e-52	83	401	24	528	0.5145631067961165
AA3_2.hmm	568	3300014623.a:Ga0121352_10001_24	568	1.1e-165	1	566	3	534	0.9947183098591549
GT2.hmm	170	3300014623.a:Ga0121352_10001_334	344	4.8e-35	1	166	10	170	0.9705882352941176
GT83.hmm	540	3300014623.a:Ga0121352_10001_337	552	2.8e-126	6	529	3	521	0.9685185185185186
GT83.hmm	540	3300014623.a:Ga0121352_10001_341	541	3.3e-37	5	437	12	434	0.8
PL7_1.hmm	219	3300014623.a:Ga0121352_10001_37	222	2.4e-107	1	219	2	220	0.9954337899543378
GH13_33.hmm	322	3300014623.a:Ga0121352_10001_425	688	5.4e-169	1	322	85	406	0.9968944099378882
GH102.hmm	157	3300014623.a:Ga0121352_10001_51	399	9.4e-55	2	156	135	287	0.9808917197452229
GH13_6.hmm	289	3300014623.a:Ga0121352_10002_118	532	2.8e-46	3	289	60	348	0.9896193771626297
CBM20.hmm	90	3300014623.a:Ga0121352_10002_118	532	2e-17	3	87	439	525	0.9333333333333333
CE11.hmm	271	3300014623.a:Ga0121352_10002_21	304	5.9e-118	1	270	4	275	0.992619926199262
GT28.hmm	157	3300014623.a:Ga0121352_10002_27	357	1.4e-52	2	157	182	342	0.9872611464968153
GH63.hmm	570	3300014623.a:Ga0121352_10003_312	877	1.4e-22	364	565	423	870	0.3526315789473684
AA6.hmm	195	3300014623.a:Ga0121352_10003_90	205	1.9e-67	2	193	6	193	0.9794871794871794
GT4.hmm	160	3300014623.a:Ga0121352_10004_100	374	3.3e-27	5	152	196	330	0.91875
CE9.hmm	373	3300014623.a:Ga0121352_10004_182	369	6.2e-115	4	373	4	360	0.9892761394101877
GH23.hmm	135	3300014623.a:Ga0121352_10004_189	465	5.6e-22	13	122	279	427	0.8074074074074075
