#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                     accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----           -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GT1_e495.hmm|GT1:33|2.4.1.17:1|2.4.1.-:1 -            416 3300006487.a:Ga0100256_10018_5 -            415     0.025   14.1   0.1   1   1   1.4e-06     0.036   13.5   0.1    21   152   191   329   169   340 0.82 -
CE1_e32.hmm|CE1:2027|2.3.1.122:4|3.1.1.-:4|2.3.1.20:4|GH23:1                       -            254 3300006487.a:Ga0100256_10018_17 -            298    0.0021   18.1   0.0   1   1   1.6e-06     0.003   17.7   0.0    74   143   104   173    39   185 0.71 -
CE1_e28.hmm|CE1:5                                                                  -            266 3300006487.a:Ga0100256_10018_17 -            298     0.011   15.5   0.1   1   1   8.7e-06     0.016   14.9   0.1    74   154    87   170    59   184 0.69 -
CE1_e24.hmm|CE1:8|CBM4:3|GH11:1|3.1.1.72:1|3.2.1.8:1|CBM88:1|CBM9:1|CBM6:1|CBM35:1 -            151 3300006487.a:Ga0100256_10018_17 -            298     0.014   15.8   0.1   1   1   1.6e-05     0.029   14.7   0.1    86   138   115   168    92   179 0.74 -
CE1_e17.hmm|CE1:7                                                                  -            273 3300006487.a:Ga0100256_10018_17 -            298     0.016   15.4   0.4   1   1   1.3e-05     0.024   14.8   0.4   108   174   115   181   110   189 0.90 -
CE1_e8.hmm|CE1:46|CBM2:29                                                          -            199 3300006487.a:Ga0100256_10018_17 -            298     0.022   14.9   0.0   1   1   2.6e-05     0.048   13.8   0.0    98   168   115   186   106   197 0.81 -
CE7_e36.hmm|CE7:71                                                                 -            306 3300006487.a:Ga0100256_10018_17 -            298      0.05   13.0   0.2   1   1   0.00011       0.2   11.0   0.2    76   203    22   149    10   189 0.63 -
CE7_e23.hmm|CE7:497|3.1.1.72:4                                                     -            313 3300006487.a:Ga0100256_10018_17 -            298     0.061   12.7   0.1   1   1   0.00016      0.29   10.5   0.1    77   204    22   145    13   155 0.62 -
GH18_e330.hmm|GH18:49|CBM5:47                                                      -            273 3300006487.a:Ga0100256_10018_17 -            298     0.082   12.5   0.0   1   1   7.7e-05      0.14   11.7   0.0    39    85    99   144    91   152 0.80 -
CE1_e38.hmm|CE1:175                                                                -            268 3300006487.a:Ga0100256_10018_17 -            298       0.1   12.4   0.3   1   1   8.7e-05      0.16   11.7   0.3   103   145   117   159   105   181 0.74 -
GH18_e249.hmm|GH18:8                                                               -            180 3300006487.a:Ga0100256_10018_17 -            298      0.11   12.7   0.0   1   1   0.00011      0.21   11.8   0.0    19    65    96   141    87   152 0.80 -
CE1_e29.hmm|CE1:171                                                                -            201 3300006487.a:Ga0100256_10018_17 -            298      0.13   12.1   0.1   1   1   0.00022       0.4   10.5   0.1    13   127    23   147    13   193 0.56 -
