Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
3300029603.a:Ga0245139_101421_1	AJE06380.1|GH38	99.7	393	1	0	14	406	16	408	1.6e-239	832.0
3300029603.a:Ga0245139_101421_2	AXR42158.1|GH38	99.0	481	5	0	3	483	594	1074	1.9e-271	938.3
3300029603.a:Ga0245139_100001_1	AZH72176.1|GH3	99.7	991	3	0	1	991	1	991	0.0e+00	1944.9
3300029603.a:Ga0245139_100001_4	UIY46774.1|GH0	85.8	501	62	1	1	501	11	502	1.2e-170	603.6
3300029603.a:Ga0245139_100001_39	AJE04993.1|GT35	99.3	818	6	0	1	818	1	818	0.0e+00	1650.2
3300029603.a:Ga0245139_100001_85	CAN80640.1|GT47	48.2	419	213	4	6	421	944	1361	3.8e-106	389.0
3300029603.a:Ga0245139_100001_98	AII75493.1|GH13_18	99.8	504	1	0	1	504	1	504	1.1e-298	1028.9
3300029603.a:Ga0245139_100001_103	QHB61875.1|CE20	99.5	615	3	0	1	615	1	615	0.0e+00	1283.5
3300029603.a:Ga0245139_100001_139	UQT37501.1|GT2	98.3	343	6	0	1	343	1	343	5.5e-196	687.2
3300029603.a:Ga0245139_100001_178	AJE05142.1|GH43_27	99.0	704	7	0	1	704	1	704	0.0e+00	1431.8
3300029603.a:Ga0245139_100001_180	AJE05144.1|GH43_26	99.7	339	1	0	1	339	1	339	3.6e-208	727.6
3300029603.a:Ga0245139_100001_185	AXR41041.1|GH43_22	99.4	354	2	0	1	354	1	354	1.4e-226	788.9
3300029603.a:Ga0245139_100001_186	QHB61952.1|GT51	99.6	702	3	0	1	702	1	702	0.0e+00	1369.8
3300029603.a:Ga0245139_100001_195	QIP41401.1|CE9	46.6	537	279	3	3	539	9	537	1.7e-111	407.1
3300029603.a:Ga0245139_100001_288	QCW79542.1|GH101	46.1	558	267	11	1	547	534	1068	1.8e-124	450.3
3300029603.a:Ga0245139_100001_334	AJE05301.1|GH120	99.9	680	1	0	1	680	1	680	0.0e+00	1450.6
3300029603.a:Ga0245139_100001_335	UDG92257.1|GH8	99.2	379	3	0	1	379	1	379	8.1e-233	809.7
3300029603.a:Ga0245139_100001_336	AVT44762.1|GH43_10	98.7	529	7	0	1	529	1	529	0.0e+00	1121.3
3300029603.a:Ga0245139_100001_343	CCG34946.2|GH77	98.8	720	9	0	1	720	1	720	0.0e+00	1464.1
3300029603.a:Ga0245139_100001_346	AZH70939.1|CBM48|GH13_11	100.0	815	0	0	1	815	1	815	0.0e+00	1718.7
3300029603.a:Ga0245139_100001_386	AGL64345.2|GT2	50.2	588	279	7	341	928	282	855	7.2e-158	562.0
3300029603.a:Ga0245139_100001_397	QFG67851.1|CBM48|GH13_9	58.6	551	218	4	2	549	1480	2023	2.0e-184	649.4
3300029603.a:Ga0245139_100001_428	QHB62186.1|GT4	100.0	472	0	0	1	472	1	472	1.2e-281	972.2
3300029603.a:Ga0245139_100001_435	AVT44848.1|GT2	100.0	308	0	0	1	308	1	308	2.0e-181	638.6
3300029603.a:Ga0245139_100001_437	CDX10525.1|GT2	100.0	407	0	0	1	407	1	407	1.7e-236	822.0
3300029603.a:Ga0245139_100001_454	AXR41284.1|GH43_12	99.5	565	3	0	1	565	1	565	0.0e+00	1177.2
3300029603.a:Ga0245139_100001_459	UQT37801.1|CBM91|GH43_11	99.8	543	1	0	1	543	1	543	0.0e+00	1172.5
3300029603.a:Ga0245139_100001_460	QHB62215.1|CE20	99.8	648	1	0	1	648	1	648	0.0e+00	1396.7
3300029603.a:Ga0245139_100001_468	AJE05442.1|GH3	100.0	475	0	0	1	475	1	475	3.7e-259	897.5
3300029603.a:Ga0245139_100001_469	AJE05444.1|GH42	100.0	456	0	0	1	456	1	456	2.5e-273	944.5
3300029603.a:Ga0245139_100001_474	AJE05449.1|GH94	99.4	314	2	0	1	314	520	833	1.4e-182	642.5
3300029603.a:Ga0245139_100001_475	AVT44882.1|GH94	99.3	424	3	0	1	424	1	424	4.9e-255	883.6
3300029603.a:Ga0245139_100001_488	AAL05573.1|GH13_30|3.2.1.20	100.0	585	0	0	1	585	6	590	0.0e+00	1253.0
3300029603.a:Ga0245139_100001_493	AGL64353.2|CBM50|GH25	38.7	605	324	10	1	602	6	566	2.7e-105	386.7
3300029603.a:Ga0245139_100001_543	BAR01457.1|GH36	99.4	707	4	0	1	707	1	707	0.0e+00	1426.4
3300029603.a:Ga0245139_100001_548	AZN74467.1|GH127	99.7	660	2	0	1	660	1	660	0.0e+00	1357.4
3300029603.a:Ga0245139_100001_549	BAR01463.1|CBM35|GH39	99.4	987	6	0	1	987	1	987	0.0e+00	1843.6
3300029603.a:Ga0245139_100001_570	CCO12102.2|GH13_31	61.9	341	130	0	1	341	1	341	1.3e-112	410.2
3300029603.a:Ga0245139_100001_577	BAF39307.1|GT4	100.0	388	0	0	1	388	1	388	3.1e-224	781.2
3300029603.a:Ga0245139_100001_582	CAD7226128.1|GH38	34.4	729	426	11	12	709	1344	2051	2.4e-113	413.7
