#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name                      accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- -----            -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GT2_e711.hmm|GT2:17|GT4:4|GT41:3|GT9:1 -            169 3300006517.a:Ga0100964_107176_2 -            250    0.0081   16.8   0.7   1   1   4.1e-06     0.015   15.9   0.6    53   123   125   207    96   235 0.72 -
GH33_e58.hmm|GH33:26                   -            305 3300006517.a:Ga0100964_107176_2 -            250     0.042   13.4   0.3   1   1   2.8e-05       0.1   12.1   0.3     4    71    56   125    53   237 0.60 -
GT2_e850.hmm|GT2:10|GT4:2              -            112 3300006517.a:Ga0100964_107176_2 -            250     0.057   13.9   0.0   1   1   2.5e-05     0.091   13.3   0.0    48    94   121   167   113   175 0.89 -
CBM13_e274.hmm|CBM13:5                 -             82 3300006517.a:Ga0100964_107176_2 -            250     0.057   13.9   0.0   1   1   4.3e-05      0.16   12.5   0.0    35    78    46    89    34    92 0.84 -
GT2_e1065.hmm|GT2:15                   -            133 3300006517.a:Ga0100964_107176_2 -            250      0.12   12.9   0.1   1   1   5.5e-05       0.2   12.1   0.1    47   104   119   177   113   202 0.77 -
GT2_e2397.hmm|GT2:25                   -            135 3300006517.a:Ga0100964_107176_2 -            250      0.13   12.7   0.1   1   1   5.5e-05       0.2   12.1   0.1    52   103   124   176   115   208 0.82 -
GT2_e2838.hmm|GT2:35|GT4:2             -            146 3300006517.a:Ga0100964_107176_2 -            250      0.13   12.9   0.3   1   1   5.6e-05      0.21   12.2   0.3    46   129   119   198   112   232 0.72 -
GT2_e2368.hmm|GT2:6             -            126 3300006517.a:Ga0100964_107176_3 -            657     0.025   15.2   0.4   1   3      0.31   3.9e+03   -1.6   0.0    80   118   166   205   153   225 0.61 -
GT2_e2368.hmm|GT2:6             -            126 3300006517.a:Ga0100964_107176_3 -            657     0.025   15.2   0.4   2   3      0.78     1e+04   -2.9   0.1    80   102   487   510   473   513 0.65 -
GT2_e2368.hmm|GT2:6             -            126 3300006517.a:Ga0100964_107176_3 -            657     0.025   15.2   0.4   3   3   1.4e-05      0.18   12.5   0.0    19    61   554   599   545   615 0.76 -
CBM50_e417.hmm|CBM50:17|GH23:14 -             47 3300006517.a:Ga0100964_107176_3 -            657       2.5    8.8   4.6   1   3       1.6   2.1e+04   -3.8   0.0    10    16    52    58    49    59 0.87 -
CBM50_e417.hmm|CBM50:17|GH23:14 -             47 3300006517.a:Ga0100964_107176_3 -            657       2.5    8.8   4.6   2   3   9.4e-05       1.2    9.8   0.3     8    19   506   517   502   520 0.88 -
