#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                      accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----            -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GT2_e2170.hmm|GT2:5  -            151 3300006523.a:Ga0101039_100294_13 -            398     0.035   14.2   0.0   1   1   6.2e-06      0.16   12.1   0.0    27    61   185   219   178   330 0.69 -
GT83_e68.hmm|GT83:5  -            458 3300006523.a:Ga0101039_100294_21 -            138     0.033   13.7   0.1   1   1   1.5e-06     0.039   13.5   0.1    51   120    12    81     5    94 0.92 -
GT2_e1687.hmm|GT2:7   -            123 3300006523.a:Ga0101039_100294_36 -            327     0.026   15.0   0.0   1   1   5.8e-06      0.05   14.1   0.0    28    75   220   269   202   297 0.78 -
GT4_e4.hmm|GT4:35     -            158 3300006523.a:Ga0101039_100294_36 -            327     0.085   13.4   0.1   1   2     0.021   1.8e+02    2.6   0.0   125   150     3    28     1    34 0.86 -
GT4_e4.hmm|GT4:35     -            158 3300006523.a:Ga0101039_100294_36 -            327     0.085   13.4   0.1   2   2   0.00038       3.3    8.2   0.0    95   147   190   242   184   252 0.86 -
GT4_e1864.hmm|GT4:105 -            144 3300006523.a:Ga0101039_100294_36 -            327      0.17   12.3   0.0   1   2    0.0038        33    4.9   0.0    11    46    77   112    68   138 0.72 -
GT4_e1864.hmm|GT4:105 -            144 3300006523.a:Ga0101039_100294_36 -            327      0.17   12.3   0.0   2   2    0.0033        29    5.1   0.0    16    66   198   259   188   282 0.71 -
GT20_e1.hmm|GT20:8450|2.4.1.15:96         -            473 3300006523.a:Ga0101039_100294_38 -            751  4.3e-180  599.9   0.0   1   1  2.7e-182  5.4e-180  599.6   0.0    10   468     2   458     1   463 0.96 -
GT20_e0.hmm|GT20:733|2.4.1.15:146|CBM20:2 -            462 3300006523.a:Ga0101039_100294_38 -            751  4.1e-161  537.1   0.0   1   1  2.7e-163  5.3e-161  536.8   0.0     3   460     2   458     1   460 0.98 -
GT20_e22.hmm|GT20:12                      -            469 3300006523.a:Ga0101039_100294_38 -            751  1.2e-155  519.0   0.1   1   1  8.4e-158  1.7e-155  518.5   0.1     4   466     2   456     1   459 0.96 -
GT20_e8.hmm|GT20:314|2.4.1.213:1          -            487 3300006523.a:Ga0101039_100294_38 -            751  1.3e-143  479.5   0.1   1   1  1.9e-144  3.8e-142  474.7   0.1     2   485     2   457     1   459 0.97 -
GT20_e21.hmm|GT20:172                     -            466 3300006523.a:Ga0101039_100294_38 -            751  1.1e-124  416.9   0.0   1   1  7.6e-127  1.5e-124  416.5   0.0     2   462     3   454     2   457 0.96 -
GT20_e13.hmm|GT20:36                      -            468 3300006523.a:Ga0101039_100294_38 -            751  9.2e-117  391.0   0.0   1   1  5.8e-119  1.2e-116  390.7   0.0     2   464     3   454     2   458 0.96 -
GT20_e19.hmm|GT20:301|3.1.3.12:1          -            492 3300006523.a:Ga0101039_100294_38 -            751  4.7e-114  382.2   0.0   1   1  1.5e-115    3e-113  379.5   0.0    47   488    40   455     4   458 0.91 -
GT20_e15.hmm|GT20:13|2.4.1.15:3           -            431 3300006523.a:Ga0101039_100294_38 -            751  4.6e-110  368.5   0.0   1   1  2.9e-112  5.8e-110  368.2   0.0     3   428     5   452     3   455 0.91 -
GT20_e2.hmm|GT20:12                       -            477 3300006523.a:Ga0101039_100294_38 -            751  1.5e-105  354.2   0.0   1   1    1e-107  2.1e-105  353.8   0.0    20   468    16   452     2   460 0.92 -
GT20_e24.hmm|GT20:403|2.4.1.15:11         -            447 3300006523.a:Ga0101039_100294_38 -            751  2.1e-104  350.0   0.0   1   1  1.5e-106  2.9e-104  349.6   0.0    15   444    36   457    23   460 0.94 -
GT20_e25.hmm|GT20:9|CBM20:3               -            479 3300006523.a:Ga0101039_100294_38 -            751  2.9e-104  349.9   0.0   1   1  2.1e-106  4.1e-104  349.5   0.0     7   473     3   454     1   459 0.96 -
GT20_e6.hmm|GT20:564|2.4.1.15:20          -            487 3300006523.a:Ga0101039_100294_38 -            751  2.9e-101  340.0   0.0   1   1  2.3e-103  4.5e-101  339.4   0.0     4   483     3   457     1   461 0.96 -
GT20_e12.hmm|GT20:7                       -            448 3300006523.a:Ga0101039_100294_38 -            751   1.4e-96  324.5   0.0   1   1   1.1e-98   2.2e-96  323.9   0.0     1   442     3   453     3   458 0.92 -
GT20_e16.hmm|GT20:9                       -            468 3300006523.a:Ga0101039_100294_38 -            751   7.2e-95  319.0   0.0   1   1   4.7e-97   9.3e-95  318.6   0.0     2   463     3   452     2   456 0.93 -
GT20_e7.hmm|GT20:364|2.4.1.15:2           -            468 3300006523.a:Ga0101039_100294_38 -            751   5.1e-90  302.9   0.0   1   1   3.2e-92   6.3e-90  302.6   0.0     3   462     3   454     1   460 0.92 -
GT20_e5.hmm|GT20:14|2.4.1.15:2            -            474 3300006523.a:Ga0101039_100294_38 -            751   1.1e-87  295.1   0.0   1   1   7.2e-90   1.4e-87  294.6   0.0     3   467     5   453     3   461 0.91 -
GT20_e9.hmm|GT20:9                        -            486 3300006523.a:Ga0101039_100294_38 -            751   7.5e-84  282.2   0.0   1   1   5.2e-86     1e-83  281.8   0.0     5   480     2   454     1   460 0.92 -
GT20_e14.hmm|GT20:24                      -            425 3300006523.a:Ga0101039_100294_38 -            751   4.5e-79  266.5   0.3   1   1   2.8e-81   5.6e-79  266.1   0.3     5   423    34   458    30   460 0.91 -
GT20_e20.hmm|GT20:15                      -            442 3300006523.a:Ga0101039_100294_38 -            751   6.2e-78  263.0   0.0   1   1   4.4e-80   8.7e-78  262.5   0.0     9   436    10   454     3   459 0.91 -
GT20_e18.hmm|GT20:58                      -            436 3300006523.a:Ga0101039_100294_38 -            751   1.2e-76  258.4   0.2   1   1   8.2e-79   1.6e-76  258.0   0.2     8   432    35   456    29   460 0.91 -
GT20_e23.hmm|GT20:16                      -            479 3300006523.a:Ga0101039_100294_38 -            751   3.7e-73  247.1   0.0   1   1   2.5e-75   5.1e-73  246.7   0.0     4   476     3   457     1   462 0.91 -
GT20_e17.hmm|GT20:6                       -            472 3300006523.a:Ga0101039_100294_38 -            751   4.9e-54  184.1   0.0   1   1   3.3e-56   6.5e-54  183.7   0.0     4   464     3   452     1   459 0.86 -
GT20_e10.hmm|GT20:29                      -            557 3300006523.a:Ga0101039_100294_38 -            751   9.1e-49  167.0   0.6   1   2       0.3        61    2.5   0.0     8    64     6    60     2    70 0.82 -
GT20_e10.hmm|GT20:29                      -            557 3300006523.a:Ga0101039_100294_38 -            751   9.1e-49  167.0   0.6   2   2   9.3e-50   1.8e-47  162.7   0.3   135   556    70   456    64   457 0.84 -
GT20_e3.hmm|GT20:19|2.-.-.-:1             -            468 3300006523.a:Ga0101039_100294_38 -            751     3e-36  125.4   0.0   1   1   2.2e-38   4.3e-36  124.8   0.0   122   461   110   452   100   457 0.86 -
GT20_e4.hmm|GT20:131                      -            207 3300006523.a:Ga0101039_100294_38 -            751   2.1e-22   80.3   0.5   1   1   3.4e-24   6.7e-22   78.7   0.7     7   203    40   236    34   239 0.90 -
GT20_e11.hmm|GT20:7                       -            170 3300006523.a:Ga0101039_100294_38 -            751   1.1e-10   42.1   0.3   1   1   1.7e-12   3.4e-10   40.6   0.1     9   152    45   195    39   207 0.79 -
GT4_e1278.hmm|GT4:9                       -            152 3300006523.a:Ga0101039_100294_38 -            751   2.9e-05   24.5   0.0   1   2   3.4e-05    0.0067   16.8   0.1     3   146   262   426   261   432 0.70 -
GT4_e1278.hmm|GT4:9                       -            152 3300006523.a:Ga0101039_100294_38 -            751   2.9e-05   24.5   0.0   2   2         1     2e+02    2.3   0.0    21    47   516   542   509   551 0.89 -
GT4_e2125.hmm|GT4:277                     -            149 3300006523.a:Ga0101039_100294_38 -            751   4.5e-05   24.2   0.0   1   1     8e-07   0.00016   22.4   0.0    43   142   328   427   277   434 0.81 -
GT4_e3076.hmm|GT4:8                       -            147 3300006523.a:Ga0101039_100294_38 -            751   4.7e-05   24.0   0.1   1   1   1.4e-06   0.00029   21.5   0.1     4   146   266   428   263   429 0.63 -
GT4_e1841.hmm|GT4:91                      -            150 3300006523.a:Ga0101039_100294_38 -            751   7.2e-05   23.2   0.0   1   1   7.3e-07   0.00014   22.2   0.0     3   148   265   425   263   427 0.74 -
GT4_e3215.hmm|GT4:206                     -            151 3300006523.a:Ga0101039_100294_38 -            751    0.0001   22.6   0.1   1   2     0.027       5.3    7.3   0.0     3    39   264   300   262   302 0.89 -
GT4_e3215.hmm|GT4:206                     -            151 3300006523.a:Ga0101039_100294_38 -            751    0.0001   22.6   0.1   2   2   0.00049     0.097   13.0   0.0    67   146   348   428   334   433 0.84 -
GT4_e475.hmm|GT4:6                        -            151 3300006523.a:Ga0101039_100294_38 -            751   0.00024   21.6   0.0   1   1   3.2e-06   0.00064   20.2   0.0    62   143   347   427   340   435 0.81 -
GT4_e1028.hmm|GT4:7                       -            148 3300006523.a:Ga0101039_100294_38 -            751   0.00026   21.3   0.0   1   1   2.1e-05    0.0042   17.4   0.0     2   143   263   425   262   430 0.74 -
GT4_e1648.hmm|GT4:226|GH57:35|GT2:2       -            151 3300006523.a:Ga0101039_100294_38 -            751   0.00028   21.1   0.0   1   1   9.8e-06     0.002   18.4   0.0     2   147   263   429   262   432 0.74 -
GT4_e2840.hmm|GT4:10                      -            160 3300006523.a:Ga0101039_100294_38 -            751   0.00038   20.7   0.0   1   1   6.8e-06    0.0013   18.9   0.0     2   156   265   429   264   432 0.80 -
GT4_e319.hmm|GT4:11                       -            154 3300006523.a:Ga0101039_100294_38 -            751   0.00043   20.8   0.0   1   1   9.4e-06    0.0019   18.7   0.0     2   144   265   424   264   434 0.74 -
GT4_e3144.hmm|GT4:20                      -            150 3300006523.a:Ga0101039_100294_38 -            751   0.00059   20.2   0.1   1   1   1.4e-05    0.0028   18.0   0.0     2   144   267   427   266   433 0.80 -
GT4_e2395.hmm|GT4:135|2.4.1.14:1          -            161 3300006523.a:Ga0101039_100294_38 -            751   0.00062   20.1   0.0   1   1   7.1e-06    0.0014   18.9   0.0     2   154   262   427   261   433 0.76 -
GT4_e585.hmm|GT4:16                       -            148 3300006523.a:Ga0101039_100294_38 -            751    0.0015   19.1   0.0   1   1   5.5e-05     0.011   16.2   0.0     1   100   262   381   262   389 0.75 -
GT4_e1747.hmm|GT4:13                      -            148 3300006523.a:Ga0101039_100294_38 -            751    0.0016   18.8   0.0   1   2   0.00019     0.038   14.4   0.0    62   143   347   427   339   432 0.82 -
GT4_e1747.hmm|GT4:13                      -            148 3300006523.a:Ga0101039_100294_38 -            751    0.0016   18.8   0.0   2   2         2     4e+02    1.4   0.0    33    70   669   707   658   713 0.77 -
GT4_e1253.hmm|GT4:17                      -            141 3300006523.a:Ga0101039_100294_38 -            751    0.0018   18.5   0.1   1   2   6.7e-05     0.013   15.7   0.1    65   140   351   427   326   428 0.79 -
GT4_e1253.hmm|GT4:17                      -            141 3300006523.a:Ga0101039_100294_38 -            751    0.0018   18.5   0.1   2   2       5.9   1.2e+03   -0.3   0.0    19    57   516   555   513   569 0.74 -
GT4_e1340.hmm|GT4:24|GT2:18               -            152 3300006523.a:Ga0101039_100294_38 -            751    0.0018   18.7   0.0   1   1   2.1e-05    0.0042   17.5   0.0    69   148   349   429   265   433 0.84 -
GT4_e1578.hmm|GT4:125|GT2:11|GT41:5|GT0:1 -            143 3300006523.a:Ga0101039_100294_38 -            751    0.0023   18.4   0.1   1   2   0.00061      0.12   12.8   0.0    59   141   345   430   264   432 0.78 -
GT4_e1578.hmm|GT4:125|GT2:11|GT41:5|GT0:1 -            143 3300006523.a:Ga0101039_100294_38 -            751    0.0023   18.4   0.1   2   2       1.8   3.5e+02    1.6   0.0    24    66   660   702   656   713 0.72 -
GT4_e3932.hmm|GT4:11                      -            150 3300006523.a:Ga0101039_100294_38 -            751    0.0024   18.3   0.0   1   1   6.5e-05     0.013   15.9   0.0     4   147   265   424   262   426 0.65 -
GT4_e1745.hmm|GT4:9                       -            147 3300006523.a:Ga0101039_100294_38 -            751    0.0025   18.4   0.0   1   1   7.6e-05     0.015   15.8   0.0     3   142   266   425   265   429 0.79 -
GT4_e3571.hmm|GT4:10                      -            150 3300006523.a:Ga0101039_100294_38 -            751     0.003   17.8   0.0   1   2   0.00025      0.05   13.8   0.0    59   118   341   403   326   429 0.81 -
GT4_e3571.hmm|GT4:10                      -            150 3300006523.a:Ga0101039_100294_38 -            751     0.003   17.8   0.0   2   2       1.8   3.6e+02    1.3   0.0     5    69   638   703   634   721 0.76 -
GT4_e3205.hmm|GT4:59                      -            147 3300006523.a:Ga0101039_100294_38 -            751    0.0044   17.5   0.0   1   1   5.8e-05     0.011   16.2   0.0    61   142   344   428   320   433 0.86 -
GT4_e2719.hmm|GT4:111                     -            147 3300006523.a:Ga0101039_100294_38 -            751    0.0044   17.6   0.0   1   1   0.00011     0.022   15.3   0.0     4   144   266   429   263   431 0.76 -
GT4_e1384.hmm|GT4:6                       -            140 3300006523.a:Ga0101039_100294_38 -            751    0.0055   17.1   0.0   1   1   6.1e-05     0.012   16.0   0.0    64   137   349   425   335   427 0.82 -
GT4_e213.hmm|GT4:19                       -            145 3300006523.a:Ga0101039_100294_38 -            751     0.006   17.2   0.0   1   1   6.7e-05     0.013   16.1   0.0     3   141   265   429   263   432 0.76 -
GT4_e645.hmm|GT4:23                       -            138 3300006523.a:Ga0101039_100294_38 -            751    0.0063   16.8   0.1   1   1   7.1e-05     0.014   15.7   0.1    58   133   351   427   340   432 0.81 -
GT4_e3019.hmm|GT4:6                       -            147 3300006523.a:Ga0101039_100294_38 -            751    0.0063   16.7   0.1   1   1     9e-05     0.018   15.2   0.1    69   143   351   427   346   431 0.81 -
