Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
3300013729.a:Ga0121012_100001_184	-	GT2(5-166)	GT2	GT2	N	3
3300013729.a:Ga0121012_100001_189	-|-	GT4(201-351)	GT4_e2194+GT2	GT2+GT4	N	3
3300013729.a:Ga0121012_100001_190	-	GT105(70-205)	-	-	N	1
3300013729.a:Ga0121012_100001_213	-	GT51(109-283)	GT51_e153	GT51	N	3
3300013729.a:Ga0121012_100001_248	-	GH166(44-266)	GH166_e2	GH166	Y(1-23)	3
3300013729.a:Ga0121012_100001_253	-	GT4(322-481)	GT4_e324	GT4	N	3
3300013729.a:Ga0121012_100001_276	-	GH135(139-379)	GH135_e13	GH135	N	3
3300013729.a:Ga0121012_100001_306	-	GH23(102-202)	GH23_e653	GH23	Y(1-35)	3
3300013729.a:Ga0121012_100001_492	-	GT51(68-217)	GT51_e46	GT51	Y(1-33)	3
3300013729.a:Ga0121012_100001_555	3.2.1.52:1	GH3(54-296)	GH3_e78	GH3	N	3
3300013729.a:Ga0121012_100001_7	-	AA4(20-233)	-	-	N	1
3300013729.a:Ga0121012_100001_725	-	GH23(140-260)	GH23_e398	GH23	Y(1-45)	3
3300013729.a:Ga0121012_100001_803	-	CE4(31-185)	-	-	Y(1-25)	1
3300013729.a:Ga0121012_100001_845	-	AA4(2-220)	-	-	N	1
3300013729.a:Ga0121012_100001_859	-	GH23(129-230)	GH23_e807	GH23	N	3
3300013729.a:Ga0121012_100002_36	-	GH73(180-316)	GH73_e233	GH73	N	3
3300013729.a:Ga0121012_100002_444	-	GT2(169-387)	-	GT0	N	2
3300013729.a:Ga0121012_100002_45	-	GT41(320-909)	GT41_e40	GT41	N	3
3300013729.a:Ga0121012_100002_462	-	GH109(2-156)	-	-	N	1
3300013729.a:Ga0121012_100002_481	-	AA1(91-283)	-	-	Y(1-27)	1
3300013729.a:Ga0121012_100002_520	2.4.1.-:4	GT104(20-375)	GT104_e0	GT104	N	3
3300013729.a:Ga0121012_100002_60	-	GT41(32-527)	GT41_e5	GT41	N	3
3300013729.a:Ga0121012_100002_656	-	CE1(41-287)	CE1_e22	-	Y(1-32)	2
3300013729.a:Ga0121012_100002_672	-	GH24(15-150)	GH24_e298	GH24	Y(1-27)	3
3300013729.a:Ga0121012_100003_142	-	GH23(498-626)	GH23_e952	GH23	Y(1-26)	3
3300013729.a:Ga0121012_100003_199	-	AA3_2(3-527)	AA3_e57	AA3_2	N	3
3300013729.a:Ga0121012_100003_281	-	AA7(100-301)	-	-	N	1
3300013729.a:Ga0121012_100003_407	-	CE1(344-558)	-	-	Y(1-26)	1
3300013729.a:Ga0121012_100003_49	-	CE1(398-617)	-	-	N	1
3300013729.a:Ga0121012_100003_520	-	GT51(88-265)	GT51_e58	GT51	N	3
3300013729.a:Ga0121012_100003_544	-	GT2(1-157)	GT2	GT2	N	3
3300013729.a:Ga0121012_100003_549	-	GT4(211-340)	GT4_e2659	-	N	2
3300013729.a:Ga0121012_100003_569	-	GH102(143-275)	GH102_e7	GH102	N	3
