dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
AA12_e0	AA12:18	-	polyphenol	399	3300025280.a:Ga0208449_1000016_107	482	8.6e-22	11	398	60	442	0.9699248120300752	0.9699248120300752
GH109_e2	GH109:143	-	-	391	3300025280.a:Ga0208449_1000016_45	447	2.2e-18	2	155	42	192	0.391304347826087	0.391304347826087
GH74_e7	GH74:6|CBM9:1	-	-	133	3300025280.a:Ga0208449_1000018_4	1042	3.4e-17	8	118	162	297	0.8270676691729323	0.8270676691729323
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	3300025280.a:Ga0208449_1000018_81	207	1.4e-27	2	135	42	186	0.6456310679611651	0.6456310679611651
GT30_e55	GT30:437	-	-	163	3300025280.a:Ga0208449_1000020_34	414	3.4e-76	3	163	50	210	0.9815950920245399	0.9815950920245399
AA12_e0	AA12:18	-	polyphenol	399	3300025280.a:Ga0208449_1000034_10	396	1e-27	11	398	57	391	0.9699248120300752	0.9699248120300752
GH3_e198	GH3:167	3.2.1.21:4	beta-glucan	263	3300025280.a:Ga0208449_1000038_11	771	3.8e-136	1	263	182	439	0.9961977186311787	0.9961977186311787
GT19_e2	GT19:889	-	-	349	3300025280.a:Ga0208449_1000059_55	371	1.3e-167	1	349	5	354	0.997134670487106	0.997134670487106
GT14_e50	GT14:15	-	-	249	3300025280.a:Ga0208449_1000077_25	286	2.5e-69	1	248	6	250	0.9919678714859438	0.9919678714859438
GT4_e2685	GT4:130	-	-	152	3300025280.a:Ga0208449_1000077_28	376	8.2e-63	3	150	198	345	0.9671052631578947	0.9671052631578947
GT51_e13	GT51:429	-	-	160	3300025280.a:Ga0208449_1000094_15	791	2e-75	2	159	70	226	0.98125	0.98125
GH73_e68	GH73:550|CBM50:526	-	-	129	3300025280.a:Ga0208449_1000094_32	283	1.2e-62	1	129	84	212	0.9922480620155039	0.9922480620155039
