#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GH106_e46.hmm|GH106:55 -            732 3300006249.a:Ga0099390_1007117_2 -            234    0.0042   15.7   0.3   1   1   1.9e-07    0.0049   15.5   0.3   419   554    26   165    21   200 0.74 -
GT9_e210.hmm|GT9:6   -            246 3300006249.a:Ga0099390_1002995_4 -            561      0.03   14.3   1.2   1   1   2.3e-06     0.058   13.4   0.7    59   153    79   170    46   207 0.76 -
GT111_e2.hmm|GT111:42 -            212 3300006249.a:Ga0099390_1000309_13 -            148     0.076   13.4   1.0   1   1   7.7e-06     0.099   13.0   1.0    89   183    46   142    35   146 0.82 -
GT2_e2290.hmm|GT2:5   -            121 3300006249.a:Ga0099390_1000309_13 -            148      0.14   12.7   1.7   1   2      0.12   1.6e+03   -0.4   0.0    77    95    36    54    11    77 0.72 -
GT2_e2290.hmm|GT2:5   -            121 3300006249.a:Ga0099390_1000309_13 -            148      0.14   12.7   1.7   2   2   5.4e-05      0.69   10.4   1.0    85   109   103   127    61   137 0.77 -
CBM46_e0.hmm|CBM46:112|GH5_4:110|CBM2:44|3.2.1.-:1|GH5:1 -             87 3300006249.a:Ga0099390_1000309_16 -            288      0.03   15.1   0.0   1   2      0.69   8.9e+03   -2.4   0.0    22    60    65   103    55   110 0.70 -
CBM46_e0.hmm|CBM46:112|GH5_4:110|CBM2:44|3.2.1.-:1|GH5:1 -             87 3300006249.a:Ga0099390_1000309_16 -            288      0.03   15.1   0.0   2   2   7.8e-06       0.1   13.4   0.0    17    76   135   196   126   200 0.86 -
CBM51_e0.hmm|CBM51:83                                    -             89 3300006249.a:Ga0099390_1000309_16 -            288      0.17   12.5   0.1   1   2      0.26   3.4e+03   -1.2   0.0    27    79    63   115    42   117 0.61 -
CBM51_e0.hmm|CBM51:83                                    -             89 3300006249.a:Ga0099390_1000309_16 -            288      0.17   12.5   0.1   2   2   6.6e-05      0.85   10.3   0.0     2    46   209   251   208   280 0.80 -
GT77_e13.hmm|GT77:5  -            206 3300006249.a:Ga0099390_1000309_17 -            296     0.028   14.6   0.3   1   1   3.6e-06     0.046   13.9   0.3    17   113   140   233   131   279 0.88 -
GT2_e3292.hmm|GT2:5  -             99 3300006249.a:Ga0099390_1000309_17 -            296      0.12   13.3   0.9   1   3   9.8e-05       1.3   10.0   0.1    30    70    57   102    45   111 0.87 -
GT2_e3292.hmm|GT2:5  -             99 3300006249.a:Ga0099390_1000309_17 -            296      0.12   13.3   0.9   2   3      0.22   2.8e+03   -0.7   0.0    38    80   113   156   107   170 0.63 -
GT2_e3292.hmm|GT2:5  -             99 3300006249.a:Ga0099390_1000309_17 -            296      0.12   13.3   0.9   3   3     0.092   1.2e+03    0.5   0.0    29    67   144   184   129   206 0.65 -
GH20_e6.hmm|GH20:28|CBM12:1|2.4.1.-:1 -            446 3300006249.a:Ga0099390_1000309_18 -            307    0.0067   15.7   0.3   1   2     0.086   1.1e+03   -1.5   0.1   328   360    84   114    43   181 0.63 -
GH20_e6.hmm|GH20:28|CBM12:1|2.4.1.-:1 -            446 3300006249.a:Ga0099390_1000309_18 -            307    0.0067   15.7   0.3   2   2   5.2e-07    0.0067   15.7   0.3   349   422   231   299   210   303 0.88 -
GH107_e0.hmm|GH107:10|3.2.1.212:1     -            180 3300006249.a:Ga0099390_1000309_18 -            307      0.19   12.3   3.0   1   2   3.9e-05      0.49   11.0   0.7    57   136    84   170    46   177 0.81 -
GH107_e0.hmm|GH107:10|3.2.1.212:1     -            180 3300006249.a:Ga0099390_1000309_18 -            307      0.19   12.3   3.0   2   2     0.064   8.3e+02    0.5   0.1    55    85   180   207   173   233 0.77 -
GT4_e3928.hmm|GT4:6  -            146 3300006249.a:Ga0099390_1000309_22 -            424     0.039   14.4   0.0   1   3   0.00023         6    7.3   0.0    54    92     5    45     2    49 0.84 -
GT4_e3928.hmm|GT4:6  -            146 3300006249.a:Ga0099390_1000309_22 -            424     0.039   14.4   0.0   2   3     0.003        77    3.7   0.0    33   111   253   331   242   356 0.75 -
GT4_e3928.hmm|GT4:6  -            146 3300006249.a:Ga0099390_1000309_22 -            424     0.039   14.4   0.0   3   3      0.59   1.5e+04   -3.7   0.0    23    46   393   417   386   419 0.71 -
GT9_e12.hmm|GT9:14   -            247 3300006249.a:Ga0099390_1000309_30 -            157     0.012   15.6   1.7   1   1   6.2e-07     0.016   15.1   1.7    94   173    51   135    40   150 0.78 -
CBM13_e131.hmm|CBM13:169|GH30_5:167|GH43_24:6|CBM71:2|GH42:1|CBM5:1 -            140 3300006249.a:Ga0099390_1002909_6 -            131     0.064   13.7   0.7   1   1   1.3e-05      0.11   12.9   0.6    66   114    33    85    24    94 0.77 -
CBM13_e286.hmm|CBM13:6|GH16:2                                       -            136 3300006249.a:Ga0099390_1002909_6 -            131      0.13   12.6   0.1   1   1   2.1e-05      0.18   12.1   0.1    15    68    41    94    33   100 0.91 -
CBM13_e363.hmm|CBM13:10                                             -            134 3300006249.a:Ga0099390_1002909_6 -            131      0.18   12.0   0.1   1   1     3e-05      0.26   11.5   0.1    66   119    44    97    37   108 0.89 -
PL5_e3.hmm|PL5:32    -            265 3300006249.a:Ga0099390_1003485_7 -            119       0.1   12.4   0.3   1   1   5.1e-06      0.13   12.1   0.3   142   175    42    75    30    84 0.87 -
CBM6_e71.hmm|CBM6:55|GH43_2:53|GH8:5|GH43:2 -             99 3300006249.a:Ga0099390_1004344_4 -            265     0.031   14.9   0.0   1   1   1.4e-05     0.059   14.0   0.0    12    69    76   132    70   163 0.71 -
CBM6_e13.hmm|CBM6:8|GH92:4|GH38:3|CBM32:2   -            125 3300006249.a:Ga0099390_1004344_4 -            265     0.045   14.4   0.0   1   1   1.9e-05     0.081   13.6   0.0    29   114    75   157    48   189 0.84 -
GT2_e1465.hmm|GT2:12                        -            143 3300006249.a:Ga0099390_1004344_4 -            265     0.049   14.2   0.1   1   2    0.0012         5    7.7   0.0    58   109     5    58     1    81 0.85 -
GT2_e1465.hmm|GT2:12                        -            143 3300006249.a:Ga0099390_1004344_4 -            265     0.049   14.2   0.1   2   2    0.0086        37    4.9   0.0    62   127   136   202    93   248 0.71 -
GT2_e2503.hmm|GT2:6|GT4:5                   -            119 3300006249.a:Ga0099390_1004344_4 -            265     0.094   13.3   0.0   1   1   4.9e-05      0.21   12.2   0.0    41    81   107   147    93   155 0.89 -
CBM6_e56.hmm|CBM6:8|GH120:8                 -            104 3300006249.a:Ga0099390_1004344_4 -            265       0.2   12.0   0.0   1   1   7.8e-05      0.33   11.3   0.0    24   101    76   153    50   156 0.81 -
GT4_e3384.hmm|GT4:6                         -            149 3300006249.a:Ga0099390_1004344_4 -            265      0.27   11.6   1.5   1   2       0.4   1.7e+03   -0.7   0.0     4    35     6    37     3    58 0.75 -
GT4_e3384.hmm|GT4:6                         -            149 3300006249.a:Ga0099390_1004344_4 -            265      0.27   11.6   1.5   2   2   0.00017      0.73   10.2   0.2    31    91   132   197   120   209 0.71 -
GH16_e86.hmm|GH16_24:11 -            225 3300006249.a:Ga0099390_1004344_5 -            204      0.19   11.6   0.0   1   1   9.8e-06      0.25   11.2   0.0   132   207    89   166    82   172 0.82 -
GT2_e307.hmm|GT2:6   -            123 3300006249.a:Ga0099390_1000684_2 -            235     0.018   15.3   0.6   1   3     2e-05      0.17   12.1   0.1    48   106    65   123    58   140 0.78 -
